AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LATITUDE,LON_DEGREES,LONGITUDE
1387306,13873,OME,Nome Airport,"Nome, AK",United States,US,Alaska,AK,02,33873,"Nome, AK",1,64,64.51055556,165,-165.44472222
1387401,13874,RZY,Rezayieh Airport,"Rezayieh, Iran",Iran,IR,,,,33874,"Rezayieh, Iran",632,37,37.66944444,45,45.07027778
1387402,13874,OMH,Uromiyeh,"Urmieh, Iran",Iran,IR,,,,33874,"Urmieh, Iran",632,37,37.66250000,45,45.05888889
1387403,13874,OMH,Uromiyeh,"Urmieh, Iran",Iran,IR,,,,33874,"Urmieh, Iran",632,37,37.66805556,45,45.06861111
1387601,13876,OMK,Omak Airport,"Omak, WA",United States,US,Washington,WA,53,33876,"Omak, WA",93,48,48.46666667,119,-119.52083333
1387602,13876,OMK,Omak Airport,"Omak, WA",United States,US,Washington,WA,53,33876,"Omak, WA",93,48,48.46444444,119,-119.51805556
1387701,13877,OML,Omkalai Airport,"Omkalai, Papua New Guinea",Papua New Guinea,PG,,,,33877,"Omkalai, Papua New Guinea",804,6,-6.18555556,144,144.95833333
1387801,13878,OMO,Mostar Airport,"Mostar, Yugoslavia",Yugoslavia,YU,,,,33878,"Mostar, Yugoslavia",497,43,43.28555556,17,17.84666667
1387802,13878,OMO,Mostar Airport,"Mostar, Yugoslavia",Yugoslavia,YU,,,,33878,"Mostar, Yugoslavia",497,43,43.28555556,17,17.84666667
1387803,13878,OMO,Mostar Airport,"Mostar, Bosnia and Herzegovina",Bosnia and Herzegovina,BA,,,,33878,"Mostar, Bosnia and Herzegovina",410,43,43.28361111,17,17.84666667
1387804,13878,OMO,Mostar Airport,"Mostar, Bosnia and Herzegovina",Bosnia and Herzegovina,BA,,,,33878,"Mostar, Bosnia and Herzegovina",410,43,43.28305556,17,17.84583333
1387805,13878,OMO,Mostar Airport,"Mostar, Bosnia and Herzegovina",Bosnia and Herzegovina,BA,,,,33878,"Mostar, Bosnia and Herzegovina",410,43,43.28277778,17,17.84583333
1387806,13878,OMO,Mostar Airport,"Mostar, Bosnia and Herzegovina",Bosnia and Herzegovina,BA,,,,33878,"Mostar, Bosnia and Herzegovina",410,43,43.28305556,17,17.84583333
1387807,13878,OMO,Mostar Airport,"Mostar, Bosnia and Herzegovina",Bosnia and Herzegovina,BA,,,,33878,"Mostar, Bosnia and Herzegovina",410,43,43.28277778,17,17.84583333
1387808,13878,OMO,Mostar Airport,"Mostar, Bosnia and Herzegovina",Bosnia and Herzegovina,BA,,,,33878,"Mostar, Bosnia and Herzegovina",410,43,43.28305556,17,17.84583333
1387901,13879,OMR,Oradea Airport,"Oradea, Romania",Romania,RO,,,,33879,"Oradea, Romania",473,47,47.02750000,21,21.90305556
1387902,13879,OMR,Oradea Airport,"Oradea, Romania",Romania,RO,,,,33879,"Oradea, Romania",473,47,47.02527778,21,21.90250000
1388001,13880,OMS,Omsk Airport,"Omsk, U.S.S.R.",U.S.S.R.,SU,,,,33880,"Omsk, U.S.S.R.",786,54,54.96666667,73,73.30000000
